time,close,VWAP,Volume,Volume MA,K,D,RSI
2022-12-09T17:15:00+01:00,0.9231,0.924034444,136741,187181.05,65.34244016,74.48586888,55.12113459
2022-12-09T17:20:00+01:00,0.9223,0.924028369,226561,185732.15,67.11936418,67.6662262,52.13021342
2022-12-09T17:25:00+01:00,0.923,0.924026884,52907,180018.4,77.75929925,70.0737012,54.45875733
2022-12-09T17:30:00+01:00,0.9222,0.924020344,234442,175983.15,66.87698902,70.58521748,51.38255252
2022-12-09T17:35:00+01:00,0.9205,0.924005545,242282,180964.85,47.09397048,63.91008625,45.50075896
2022-12-09T17:40:00+01:00,0.9202,0.923970294,410683,160773.45,20.16212001,44.7110265,44.53198343
2022-12-09T17:45:00+01:00,0.9193,0.923966633,42364,156025.6,2.905531026,23.38720717,41.66588522
2022-12-09T17:50:00+01:00,0.9208,0.923958159,110793,158714.6,12.34913588,11.80559564,47.70673731
2022-12-09T17:55:00+01:00,0.9198,0.923953992,53217,158046.05,17.94922967,11.06796553,44.40529456
2022-12-09T18:00:00+01:00,0.9196,0.923932809,224649,165156.25,22.2161509,17.50483882,43.75314382
2022-12-09T18:05:00+01:00,0.919,0.923922536,103641,168392.65,10.08226423,16.74921493,41.77117912
2022-12-09T18:10:00+01:00,0.9198,0.923900618,244677,169161.55,13.5528462,15.28375377,45.32733135
2022-12-09T18:15:00+01:00,0.9188,0.923886873,138764,174258.85,9.826155382,11.15375527,41.88395327
2022-12-09T18:20:00+01:00,0.9173,0.923865075,176595,178474.95,9.610906167,10.99663592,37.30592645
2022-12-09T18:25:00+01:00,0.9172,0.923811138,402328,194285.5,0.540230413,6.659097321,37.01545253
2022-12-09T18:30:00+01:00,0.9178,0.923755082,433982,203450.6,5.765423603,5.305520061,40.03249377
2022-12-09T18:35:00+01:00,0.9181,0.923737886,150293,199321.3,16.2636948,7.523116273,41.54034389
2022-12-09T18:40:00+01:00,0.9173,0.923731654,51127,185423.7,21.64904445,14.55938762,38.74274173
2022-12-09T18:45:00+01:00,0.917,0.923725909,44099,180366.4,18.07068676,18.66114201,37.71692887
2022-12-09T18:50:00+01:00,0.9174,0.923713292,96634,178838.95,16.87185824,18.86386315,39.99814223
